SplitRatio,LearningRate,Epochs,Accuracy
0.9,0.005,100,80.00
0.9,0.005,100,100.00
0.9,0.005,100,90.00
0.9,0.005,100,100.00
0.9,0.005,100,60.00
0.9,0.005,100,100.00
0.9,0.005,100,70.00
0.9,0.005,120,90.00
0.9,0.005,120,100.00
0.9,0.005,120,90.00
0.9,0.005,120,70.00
0.9,0.005,120,100.00
0.9,0.005,120,90.00
0.9,0.005,120,70.00
0.9,0.005,120,70.00
0.9,0.005,120,80.00
0.9,0.005,120,100.00
0.9,0.005,150,100.00
0.9,0.005,150,90.00
0.9,0.005,150,100.00
0.9,0.005,150,100.00
0.9,0.005,150,90.00
0.9,0.005,150,100.00
0.9,0.005,150,100.00
0.9,0.005,150,80.00
0.9,0.005,150,90.00
0.9,0.005,150,100.00
0.9,0.005,200,100.00
0.9,0.005,200,60.00
0.9,0.005,200,90.00
0.9,0.005,200,100.00
0.9,0.005,200,80.00
0.9,0.005,200,100.00
0.9,0.005,200,90.00
0.9,0.005,200,80.00
0.9,0.005,200,100.00
0.9,0.005,200,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,80.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.9,0.005,300,100.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,20,50.00
0.8,0.500,50,70.00
0.8,0.500,50,60.00
0.8,0.500,50,70.00
0.8,0.500,50,70.00
0.8,0.500,50,60.00
0.8,0.500,50,60.00
0.8,0.500,50,80.00
0.8,0.500,50,70.00
0.8,0.500,50,60.00
0.8,0.500,50,70.00
0.8,0.500,80,95.00
0.8,0.500,80,70.00
0.8,0.500,80,60.00
0.8,0.500,80,65.00
0.8,0.500,80,60.00
0.8,0.500,80,60.00
0.8,0.500,80,95.00
0.8,0.500,80,60.00
0.8,0.500,80,95.00
0.8,0.500,80,60.00
0.8,0.500,100,60.00
0.8,0.500,100,60.00
0.8,0.500,100,60.00
0.8,0.500,100,70.00
0.8,0.500,100,75.00
0.8,0.500,100,60.00
0.8,0.500,100,60.00
0.8,0.500,100,60.00
0.8,0.500,100,70.00
0.8,0.500,100,60.00
0.8,0.500,120,80.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,70.00
0.8,0.500,120,75.00
0.8,0.500,120,70.00
0.8,0.500,150,85.00
0.8,0.500,150,80.00
0.8,0.500,150,100.00
0.8,0.500,150,85.00
0.8,0.500,150,85.00
0.8,0.500,150,95.00
0.8,0.500,150,85.00
0.8,0.500,150,80.00
0.8,0.500,150,80.00
0.8,0.500,150,100.00
0.8,0.500,200,95.00
0.8,0.500,200,100.00
0.8,0.500,200,95.00
0.8,0.500,200,80.00
0.8,0.500,200,85.00
0.8,0.500,200,100.00
0.8,0.500,200,100.00
0.8,0.500,200,95.00
0.8,0.500,200,100.00
0.8,0.500,200,90.00
0.8,0.500,300,95.00
0.8,0.500,300,80.00
0.8,0.500,300,95.00
0.8,0.500,300,95.00
0.8,0.500,300,95.00
0.8,0.500,300,80.00
0.8,0.500,300,80.00
0.8,0.500,300,95.00
0.8,0.500,300,95.00
0.8,0.500,300,95.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,20,50.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,70.00
0.8,0.200,50,80.00
0.8,0.200,50,70.00
0.8,0.200,50,80.00
0.8,0.200,80,70.00
0.8,0.200,80,60.00
0.8,0.200,80,65.00
0.8,0.200,80,60.00
0.8,0.200,80,60.00
0.8,0.200,80,60.00
0.8,0.200,80,60.00
0.8,0.200,80,85.00
0.8,0.200,80,60.00
0.8,0.200,80,90.00
0.8,0.200,100,60.00
0.8,0.200,100,60.00
0.8,0.200,100,70.00
0.8,0.200,100,60.00
0.8,0.200,100,60.00
0.8,0.200,100,60.00
0.8,0.200,100,60.00
0.8,0.200,100,60.00
0.8,0.200,100,65.00
0.8,0.200,100,80.00
0.8,0.200,120,85.00
0.8,0.200,120,70.00
0.8,0.200,120,70.00
0.8,0.200,120,80.00
0.8,0.200,120,70.00
0.8,0.200,120,70.00
0.8,0.200,120,70.00
0.8,0.200,120,80.00
0.8,0.200,120,85.00
0.8,0.200,120,70.00
0.8,0.200,150,95.00
0.8,0.200,150,80.00
0.8,0.200,150,80.00
0.8,0.200,150,95.00
0.8,0.200,150,100.00
0.8,0.200,150,85.00
0.8,0.200,150,80.00
0.8,0.200,150,100.00
0.8,0.200,150,100.00
0.8,0.200,150,85.00
0.8,0.200,200,85.00
0.8,0.200,200,95.00
0.8,0.200,200,90.00
0.8,0.200,200,95.00
0.8,0.200,200,95.00
0.8,0.200,200,100.00
0.8,0.200,200,90.00
0.8,0.200,200,95.00
0.8,0.200,200,95.00
0.8,0.200,200,100.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.200,300,95.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,20,50.00
0.8,0.100,50,70.00
0.8,0.100,50,70.00
0.8,0.100,50,70.00
0.8,0.100,50,60.00
0.8,0.100,50,70.00
0.8,0.100,50,100.00
0.8,0.100,50,70.00
0.8,0.100,50,80.00
0.8,0.100,50,70.00
0.8,0.100,50,70.00
0.8,0.100,80,60.00
0.8,0.100,80,95.00
0.8,0.100,80,75.00
0.8,0.100,80,70.00
0.8,0.100,80,60.00
0.8,0.100,80,60.00
0.8,0.100,80,60.00
0.8,0.100,80,60.00
0.8,0.100,80,65.00
0.8,0.100,80,80.00
0.8,0.100,100,60.00
0.8,0.100,100,60.00
0.8,0.100,100,65.00
0.8,0.100,100,80.00
0.8,0.100,100,70.00
0.8,0.100,100,80.00
0.8,0.100,100,60.00
0.8,0.100,100,65.00
0.8,0.100,100,80.00
0.8,0.100,100,60.00
0.8,0.100,120,75.00
0.8,0.100,120,70.00
0.8,0.100,120,85.00
0.8,0.100,120,70.00
0.8,0.100,120,85.00
0.8,0.100,120,60.00
0.8,0.100,120,60.00
0.8,0.100,120,70.00
0.8,0.100,120,85.00
0.8,0.100,120,80.00
0.8,0.100,150,80.00
0.8,0.100,150,80.00
0.8,0.100,150,85.00
0.8,0.100,150,80.00
0.8,0.100,150,80.00
0.8,0.100,150,85.00
0.8,0.100,150,85.00
0.8,0.100,150,85.00
0.8,0.100,150,100.00
0.8,0.100,150,80.00
0.8,0.100,200,85.00
0.8,0.100,200,100.00
0.8,0.100,200,95.00
0.8,0.100,200,100.00
0.8,0.100,200,100.00
0.8,0.100,200,95.00
0.8,0.100,200,100.00
0.8,0.100,200,95.00
0.8,0.100,200,95.00
0.8,0.100,200,95.00
0.8,0.100,300,95.00
0.8,0.100,300,80.00
0.8,0.100,300,95.00
0.8,0.100,300,80.00
0.8,0.100,300,95.00
0.8,0.100,300,95.00
0.8,0.100,300,80.00
0.8,0.100,300,95.00
0.8,0.100,300,95.00
0.8,0.100,300,95.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,20,50.00
0.8,0.080,50,80.00
0.8,0.080,50,70.00
0.8,0.080,50,70.00
0.8,0.080,50,80.00
0.8,0.080,50,70.00
0.8,0.080,50,70.00
0.8,0.080,50,80.00
0.8,0.080,50,70.00
0.8,0.080,50,60.00
0.8,0.080,50,70.00
0.8,0.080,80,85.00
0.8,0.080,80,60.00
0.8,0.080,80,60.00
0.8,0.080,80,60.00
0.8,0.080,80,95.00
0.8,0.080,80,95.00
0.8,0.080,80,60.00
0.8,0.080,80,60.00
0.8,0.080,80,95.00
0.8,0.080,80,60.00
0.8,0.080,100,70.00
0.8,0.080,100,60.00
0.8,0.080,100,60.00
0.8,0.080,100,80.00
0.8,0.080,100,100.00
0.8,0.080,100,70.00
0.8,0.080,100,85.00
0.8,0.080,100,85.00
0.8,0.080,100,85.00
0.8,0.080,100,80.00
0.8,0.080,120,70.00
0.8,0.080,120,80.00
0.8,0.080,120,95.00
0.8,0.080,120,90.00
0.8,0.080,120,75.00
0.8,0.080,120,80.00
0.8,0.080,120,80.00
0.8,0.080,120,60.00
0.8,0.080,120,80.00
0.8,0.080,120,70.00
0.8,0.080,150,85.00
0.8,0.080,150,95.00
0.8,0.080,150,80.00
0.8,0.080,150,65.00
0.8,0.080,150,85.00
0.8,0.080,150,95.00
0.8,0.080,150,65.00
0.8,0.080,150,85.00
0.8,0.080,150,65.00
0.8,0.080,150,95.00
0.8,0.080,200,95.00
0.8,0.080,200,95.00
0.8,0.080,200,95.00
0.8,0.080,200,100.00
0.8,0.080,200,100.00
0.8,0.080,200,95.00
0.8,0.080,200,80.00
0.8,0.080,200,85.00
0.8,0.080,200,80.00
0.8,0.080,200,95.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.080,300,80.00
0.8,0.080,300,80.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.080,300,95.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,60.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,20,50.00
0.8,0.050,50,60.00
0.8,0.050,50,70.00
0.8,0.050,50,70.00
0.8,0.050,50,70.00
0.8,0.050,50,70.00
0.8,0.050,50,80.00
0.8,0.050,50,60.00
0.8,0.050,50,60.00
0.8,0.050,50,60.00
0.8,0.050,50,80.00
0.8,0.050,80,90.00
0.8,0.050,80,100.00
0.8,0.050,80,80.00
0.8,0.050,80,60.00
0.8,0.050,80,85.00
0.8,0.050,80,60.00
0.8,0.050,80,60.00
0.8,0.050,80,100.00
0.8,0.050,80,100.00
0.8,0.050,80,60.00
0.8,0.050,100,70.00
0.8,0.050,100,60.00
0.8,0.050,100,60.00
