Epoch,TrainingScenario,Accuracy
91,Multi-Class (All 3),100.00
92,Setosa vs Rest,100.00
92,Versicolor vs Rest,86.67
92,Virginica vs Rest,100.00
92,Setosa vs Versicolor,100.00
92,Setosa vs Virginica,100.00
92,Versicolor vs Virginica,100.00
92,Multi-Class (All 3),100.00
93,Setosa vs Rest,100.00
93,Versicolor vs Rest,100.00
93,Virginica vs Rest,100.00
93,Setosa vs Versicolor,100.00
93,Setosa vs Virginica,100.00
93,Versicolor vs Virginica,100.00
93,Multi-Class (All 3),100.00
94,Setosa vs Rest,100.00
94,Versicolor vs Rest,100.00
94,Virginica vs Rest,100.00
94,Setosa vs Versicolor,100.00
94,Setosa vs Virginica,100.00
94,Versicolor vs Virginica,100.00
94,Multi-Class (All 3),100.00
95,Setosa vs Rest,100.00
95,Versicolor vs Rest,100.00
95,Virginica vs Rest,100.00
95,Setosa vs Versicolor,100.00
95,Setosa vs Virginica,100.00
95,Versicolor vs Virginica,100.00
95,Multi-Class (All 3),100.00
96,Setosa vs Rest,100.00
96,Versicolor vs Rest,100.00
96,Virginica vs Rest,100.00
96,Setosa vs Versicolor,100.00
96,Setosa vs Virginica,100.00
96,Versicolor vs Virginica,100.00
96,Multi-Class (All 3),100.00
97,Setosa vs Rest,100.00
97,Versicolor vs Rest,100.00
97,Virginica vs Rest,100.00
97,Setosa vs Versicolor,100.00
97,Setosa vs Virginica,100.00
97,Versicolor vs Virginica,100.00
97,Multi-Class (All 3),100.00
98,Setosa vs Rest,100.00
98,Versicolor vs Rest,100.00
98,Virginica vs Rest,100.00
98,Setosa vs Versicolor,100.00
98,Setosa vs Virginica,100.00
98,Versicolor vs Virginica,100.00
98,Multi-Class (All 3),100.00
99,Setosa vs Rest,100.00
99,Versicolor vs Rest,100.00
99,Virginica vs Rest,100.00
99,Setosa vs Versicolor,100.00
99,Setosa vs Virginica,100.00
99,Versicolor vs Virginica,100.00
99,Multi-Class (All 3),100.00
100,Setosa vs Rest,100.00
100,Versicolor vs Rest,100.00
100,Virginica vs Rest,100.00
100,Setosa vs Versicolor,100.00
100,Setosa vs Virginica,100.00
100,Versicolor vs Virginica,100.00
100,Multi-Class (All 3),100.00
101,Setosa vs Rest,100.00
101,Versicolor vs Rest,100.00
101,Virginica vs Rest,100.00
101,Setosa vs Versicolor,100.00
101,Setosa vs Virginica,100.00
101,Versicolor vs Virginica,100.00
101,Multi-Class (All 3),100.00
102,Setosa vs Rest,100.00
102,Versicolor vs Rest,100.00
102,Virginica vs Rest,100.00
102,Setosa vs Versicolor,100.00
102,Setosa vs Virginica,100.00
102,Versicolor vs Virginica,100.00
102,Multi-Class (All 3),100.00
103,Setosa vs Rest,100.00
103,Versicolor vs Rest,100.00
103,Virginica vs Rest,100.00
103,Setosa vs Versicolor,100.00
103,Setosa vs Virginica,100.00
